column,tcode
BLM_BCIT5T,1
BLM_BCOMTR,1
BLM_BEIG1T,1
BLM_BFALTRUU,1
BLM_BTSYTRUH,1
BLM_EMUSTRUU,1
BLM_JPEIGLBL,1
BLM_LBUSTRUU,1
BLM_LBUTTRUU,1
BLM_LECPTREU,1
BLM_LEGATRUU,1
BLM_LF98TRUU,1
BLM_LGY7TRUH,1
BLM_LMBITR,1
BLM_LP01TREU,1
BLM_LP01TRUH,1
BLM_LP05TRUH,1
BLM_LUABTRUU,1
BLM_LUACTRUU,1
BLM_M1EF,1
BLM_M1WOU,1
BLM_MXCXDMHR,1
BLM_MXEF0CX0,1
BLM_MXEF,1
BLM_MXWD,1
BLM_PUT,1
BLM_RU30INTR,1
BLM_SPGSCI,1
BLM_SPGSCITR,1
BLM_SPSIMMTR,1
BLM_SPSIOPTR,1
IR_daaa,2
IR_dbaa,2
IR_dcd1m,2
IR_dcd90,2
IR_d_ba_m6,2
IR_dcd6m,2
IR_h1rifsgfpam03nb,2
IR_h0rifsgfpam06nb,2
IR_h0rifsgfpay01nb,2
IR_dbkac,2
IR_d_cp_m1,2
IR_d_cp_m3,2
IR_d_cp_m6,2
IR_dltboard,2
IR_d_dwb_na,2
IR_d_fp_m1,2
IR_d_fp_m3,2
IR_d_fp_m6,2
IR_rifsppcusnb,2
IR_d_ltnom_y25p,2
IR_rifsppcunb,2
IR_d_tcmnom_y20,2
IR_dpcredit,2
IR_ded1,2
IR_ded3,2
IR_ded6,2
IR_effr,2
IR_dff,2
IR_dltiit,2
IR_obfr,2
IR_dprime,2
IR_sofr,2
IR_dswp1,2
IR_dswp10,2
IR_dswp2,2
IR_dswp3,2
IR_dswp30,2
IR_dswp4,2
IR_dswp5,2
IR_dswp7,2
IR_dtb3,2
IR_dtb6,2
IR_dtb4wk,2
IR_dtb1yr,2
IR_dfii10,2
IR_dfii20,2
IR_dfii30,2
IR_dfii5,2
IR_dfii7,2
IR_dgs1mo,2
IR_dgs3mo,2
IR_dgs6mo,2
IR_dgs1,2
IR_dgs10,2
IR_dgs2,2
IR_dgs20,2
IR_dgs3,2
IR_dgs30,2
IR_dgs5,2
IR_dgs7,2
IR_dcpf3m,2
IR_dcpn3m,2
IR_dcpf2m,2
IR_dcpn2m,2
IR_dcpf1m,2
IR_dcpn30,2
IR_dfedtaru,2
IR_dfedtarl,2
IR_tedrate,2
IR_t10y2y,2
IR_t10y3m,2
IR_t10yie,2
IR_t5yie,2
IR_iorb,2
IR_ioer,2
IR_iorr,2
IR_bamlh0a0hym2,2
IR_bamlh0a0hym2ey,2
IR_bamlc0a0cmey,2
IR_bamlc0a1caaaey,2
IR_bamlh0a1hybbey,2
IR_bamlh0a3hycey,2
FF_Mkt_RF,1
FF_SMB,1
FF_HML,1
FF_RMW,1
FF_CMA,1
FF_RF,1
FF_MOM,1
BAB_USA,1
BAB_Global,1
CUR_EURUSD,1
CUR_USDJPY,1
CUR_USDCHF,1
CUR_USDCAD,1
CUR_AUDUSD,1
CUR_NZDUSD,1
CUR_USDNOK,1
CUR_USDSEK,1
CUR_GBPUSD,1
FRX_NFCI,1
FRX_ANFCI,1
FRX_STLFSI4,1
FRX_KCFSI,1
FRX_ICSA,5
