,PC1,PC2,PC3,PC4,PC5,PC6,PC7
FF_RF,-0.035,0.085,0.9114,0.3464,0.1465,-0.1153,0.0406
IR_dgs1,0.4901,0.0112,0.0297,-0.0728,-0.0361,0.0016,-0.3153
IR_dtb6,0.4837,0.0203,0.0978,0.0482,-0.0965,0.1915,-0.0084
IR_dtb3,0.4134,0.0023,-0.0174,0.2029,-0.1771,0.5085,0.5731
FF_Mkt_RF,-0.0243,-0.4772,-0.2636,0.7852,0.1603,0.0448,-0.2391
BAB_USA,-0.0074,0.5947,-0.1691,0.4289,-0.5658,-0.3352,-0.0334
IR_dgs2,0.4672,-0.0361,0.0693,-0.1069,-0.0345,-0.1364,-0.5302
FF_RMW,-0.0094,0.6399,-0.1583,0.1334,0.6236,0.3516,-0.1835
IR_t10y2y,-0.367,-0.0067,0.1751,-0.0383,-0.4479,0.6595,-0.4442
__explained_var_ratio__,0.4197,0.1683,0.1146,0.0973,0.0726,0.0632,0.0451
__cum_var_ratio__,0.4197,0.588,0.7025,0.7999,0.8725,0.9356,0.9807
