,WOI,Steady_State,Inflation,Crisis
Technology,21.184648995087635,9.9719928369172,15.409983054530766,50.76523422304846
Financials,25.324088741965795,10.135150794666744,13.675919419560307,84.42919012171916
Energy,27.93910581798495,15.966696876163908,21.239163620446945,72.11448648680074
Health Care,16.622146801271363,9.230851872379672,15.583668465443271,39.02974646203082
Industrials,20.56136244790735,9.541054233172718,7.377737697833233,51.922505425511936
Consumer Discretionary,20.273375681967988,9.497208838557654,7.096865248452021,50.56089487893182
Consumer Staples,13.491638237258515,7.815631600967259,5.504317194150555,32.695477340374765
Utilities,16.0356910558756,10.903647526354266,12.272007960590447,45.12123330944618
Real Estate,17.399675823832677,11.3677348650689,7.808526121197201,58.535541084272104
Materials,23.87879155163579,11.953082602336387,10.503189104736226,55.60404223664632
Communication Services,22.7460175573635,12.24220717201248,10.39499141711635,51.47795450844139
